00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,05,05,05,05,05,05,05,05,00,00,00,00,00,00,00,00
00,00,00,05,05,00,00,00,05,05,05,05,05,05,05,03,05,05,05,05,05,05,05,05,05,05,00,00,00,00,00,00
00,00,00,05,05,05,05,05,05,05,05,02,03,03,03,02,05,05,02,05,05,05,05,05,05,05,05,05,00,00,00,00
00,05,05,05,03,05,05,02,02,05,02,02,02,02,02,02,02,05,02,05,05,05,05,05,02,02,05,05,05,00,00,00
05,05,05,03,03,03,05,02,02,02,02,02,02,02,02,02,02,03,02,05,00,00,05,02,02,03,03,05,05,00,00,00
05,05,05,03,02,02,02,02,02,02,02,03,03,02,04,04,04,04,02,02,00,00,00,02,02,03,01,05,00,00,00,00
05,02,02,02,02,02,03,03,02,02,03,03,02,02,02,02,02,04,02,02,03,00,00,02,02,03,01,00,00,00,00,00
02,02,02,02,02,02,02,03,03,02,03,02,02,02,04,04,04,04,02,02,03,03,03,03,02,03,01,01,00,00,00,00
02,03,03,02,02,02,02,02,02,02,03,02,02,03,03,01,03,03,03,02,02,02,03,02,02,03,03,01,00,00,00,00
02,03,03,02,02,01,00,02,02,02,02,03,03,03,00,00,01,01,03,02,02,02,03,03,02,03,03,01,00,00,00,00
02,03,03,02,02,00,00,00,02,02,02,03,01,00,00,00,00,01,03,02,02,02,03,03,02,03,00,00,00,00,00,00
03,03,02,02,02,02,00,00,02,02,02,03,01,00,00,00,00,01,03,03,03,02,03,03,02,03,00,00,00,00,00,00
02,02,02,02,02,02,02,02,02,02,02,03,03,01,00,00,00,03,03,03,03,02,02,02,02,03,00,00,00,00,05,05
02,02,01,01,02,03,03,03,03,03,02,02,03,03,03,01,03,03,03,03,02,02,02,02,03,00,00,00,00,05,05,02
00,02,02,01,02,02,02,03,03,03,02,02,02,03,03,03,03,03,02,02,02,02,02,03,01,00,00,00,05,05,03,01
00,00,00,00,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,02,03,03,00,00,00,00,05,03,03,02
00,00,00,00,03,03,03,02,02,02,03,03,03,02,02,02,02,02,03,03,03,02,03,03,03,00,00,00,05,03,03,02
00,00,00,03,03,03,03,01,01,03,03,03,02,02,02,02,02,02,03,03,03,02,02,03,03,00,00,00,05,05,03,03
00,00,00,03,03,03,00,00,01,02,02,02,00,00,00,00,02,02,02,02,02,02,02,02,03,00,00,00,00,05,05,05
00,00,00,03,03,00,00,00,03,02,00,00,01,01,00,00,02,02,03,02,02,02,02,02,03,03,00,00,00,00,00,00
00,00,00,00,03,00,00,01,03,02,02,00,00,00,00,03,03,03,03,03,02,02,02,02,02,03,03,03,00,00,00,00
00,00,00,00,00,00,00,01,03,03,02,00,00,00,00,00,00,00,03,03,02,02,02,03,03,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,03,03,02,00,00,00,00,00,00,00,00,03,02,02,02,03,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,03,03,03,00,00,00,00,00,00,00,00,03,03,02,03,03,00,00,00,00,00,00,00,00
00,00,00,00,00,00,00,00,01,02,03,02,01,00,00,00,00,00,00,00,01,02,01,00,00,00,00,00,00,00,00,00
05,00,00,00,00,00,00,00,00,03,03,03,02,05,05,05,05,05,05,05,01,03,01,05,05,05,05,05,05,05,05,00
05,05,05,05,00,00,00,00,00,00,03,03,02,05,04,04,04,04,04,04,01,03,01,04,04,04,04,04,04,04,05,00
05,05,05,05,05,00,00,00,00,00,01,03,03,05,04,03,03,03,03,03,03,03,03,03,03,03,03,03,03,04,05,00
05,05,05,05,05,00,00,00,00,00,00,00,03,05,04,03,03,03,03,03,03,03,03,03,03,03,03,03,03,04,05,00
